supplier_id,country,count,total_shipment_volume,avg_delay,avg_reliability,totol_freight_cost_usd,total_revenue_impact_usd
SUP043,Qatar,7,40983,11.29,0.82,1154310.20,3509306.49
SUP045,Oman,15,132208,8.13,0.69,3902180.65,10348810.26
SUP004,Germany,11,107778,11.55,0.84,3000878.64,8751895.40
SUP014,UAE,11,88729,11.36,0.58,2699523.69,7137789.48
SUP025,UAE,18,125233,12.00,0.84,4020228.60,11379927.35
SUP026,Germany,19,147322,9.37,0.71,4546860.66,13022942.19
SUP011,Saudi Arabia,10,73485,6.10,0.81,2134363.44,6620908.43
SUP009,UAE,14,99976,11.57,0.66,3063982.38,8168537.49
SUP023,Oman,16,113186,9.44,0.93,3348645.57,8730036.96
SUP010,Kuwait,8,71716,8.88,0.63,2106196.72,4622732.03
SUP021,Iraq,10,74545,8.50,0.82,2175463.75,5107366.02
SUP005,Saudi Arabia,14,92493,10.36,0.95,2888932.19,8339847.53
SUP038,Germany,7,65633,7.43,0.56,2005777.61,5095871.47
SUP022,Oman,15,121440,10.40,0.81,3764085.50,11095399.07
SUP029,Iraq,16,106773,9.19,0.54,3333183.12,9183211.00
SUP035,China,23,162923,10.65,0.79,5246094.79,12768168.35
SUP040,Qatar,13,114816,10.69,0.72,3254619.73,9314389.37
SUP008,UAE,15,114944,10.67,0.53,3378495.16,10263351.72
SUP012,Kuwait,17,115979,12.82,0.93,3718265.69,9665314.19
SUP037,Oman,17,147690,12.00,0.75,4245239.62,12004112.71
SUP028,Iraq,19,136436,11.47,0.51,4057272.42,11320584.20
SUP048,Singapore,16,151475,12.13,0.85,4189812.44,12211773.88
SUP044,Kuwait,17,118838,8.76,0.84,3568178.27,10062732.10
SUP030,China,12,93283,11.00,0.51,2817048.79,6444645.63
SUP013,China,11,87628,14.27,0.82,2586629.75,7512845.88
SUP050,Iraq,10,88654,10.30,0.93,2436866.49,6268310.53
SUP002,Qatar,16,107363,12.63,0.85,3552063.99,9888507.05
SUP003,Oman,15,113482,11.73,0.81,3577378.07,8469572.67
SUP031,Saudi Arabia,9,71245,12.11,0.86,2122161.90,5295563.60
SUP020,Saudi Arabia,11,72065,9.64,0.92,2471485.85,5658546.65
SUP049,Saudi Arabia,20,162411,10.95,0.97,5136611.78,14367643.12
SUP047,Germany,12,62238,8.42,0.82,2169654.15,5269393.31
SUP033,China,23,212861,10.26,0.73,6301116.53,17058543.62
SUP018,China,9,75855,10.89,0.78,2302090.82,7163451.80
SUP042,China,14,86108,9.64,0.55,2890243.56,8922911.75
SUP017,China,12,90457,13.25,0.58,2623453.15,8480462.99
SUP039,Kuwait,21,182399,10.52,0.64,5606969.95,13576640.84
SUP024,India,19,183505,10.11,0.73,5136486.48,14103806.76
SUP046,India,9,54521,8.11,0.97,1898143.45,4857333.09
SUP041,Iraq,12,94590,10.67,0.55,2812302.24,7378207.05
SUP015,Saudi Arabia,10,66814,10.40,0.82,2167155.17,5676714.53
SUP016,Germany,16,122098,9.19,0.80,3913188.81,10954617.36
SUP027,China,11,110816,8.27,0.57,2929139.44,7721397.44
SUP006,Saudi Arabia,10,96217,11.30,0.80,2759471.32,6433664.99
SUP034,Oman,8,26816,8.13,0.58,1159335.86,3853288.77
SUP019,Saudi Arabia,15,124989,10.20,0.79,3693641.64,10160218.12
SUP036,Oman,16,148656,11.38,0.87,4237999.94,11669298.72
SUP032,China,19,154806,8.53,0.77,4557493.43,11500262.83
SUP007,Oman,13,105873,8.46,0.88,3071472.74,7993281.20
SUP001,Saudi Arabia,16,100632,9.31,0.54,3468514.67,9032260.82
